,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tautira,PF,2022-07-19 02:30:03,-17.7333,-149.15,76.3,71,16,3.06,light rain
1,Finnsnes,NO,2022-07-19 02:30:04,69.2296,17.9811,51.76,84,99,1.16,overcast clouds
2,Hualmay,PE,2022-07-19 02:30:04,-11.0964,-77.6139,61.45,85,100,10.18,overcast clouds
3,Mar Del Plata,AR,2022-07-19 02:30:05,-38.0023,-57.5575,42.87,85,0,4.0,clear sky
4,Hobart,AU,2022-07-19 02:26:14,-42.8794,147.3294,49.26,74,75,8.05,broken clouds
5,Yellowknife,CA,2022-07-19 02:30:05,62.456,-114.3525,70.32,60,75,4.61,broken clouds
6,Kapaa,US,2022-07-19 02:30:06,22.0752,-159.319,87.78,73,40,16.11,scattered clouds
7,Bluff,NZ,2022-07-19 02:30:06,-46.6,168.3333,45.81,69,96,15.68,overcast clouds
8,Hofn,IS,2022-07-19 02:27:27,64.2539,-15.2082,50.54,84,100,9.82,overcast clouds
9,Ahipara,NZ,2022-07-19 02:30:07,-35.1667,173.1667,63.05,81,89,8.55,light rain
10,Ketchikan,US,2022-07-19 02:30:07,55.3422,-131.6461,57.67,82,100,5.75,overcast clouds
11,Lifford,IE,2022-07-19 02:30:08,54.8319,-7.4836,63.7,95,99,2.26,overcast clouds
12,Punta Arenas,CL,2022-07-19 02:30:08,-53.15,-70.9167,41.11,75,0,32.21,clear sky
13,Ushuaia,AR,2022-07-19 02:30:08,-54.8,-68.3,33.46,93,75,9.22,broken clouds
14,East London,ZA,2022-07-19 02:30:09,-33.0153,27.9116,67.86,37,3,11.07,clear sky
15,Fougamou,GA,2022-07-19 02:30:09,-1.2154,10.5838,70.23,89,100,1.48,overcast clouds
16,Upernavik,GL,2022-07-19 02:28:39,72.7868,-56.1549,43.34,80,100,7.02,overcast clouds
17,Khandyga,RU,2022-07-19 02:30:10,62.6667,135.6,80.17,43,94,10.51,overcast clouds
18,Muros,ES,2022-07-19 02:29:57,42.7762,-9.0603,66.09,87,10,11.9,clear sky
19,Okhotsk,RU,2022-07-19 02:30:10,59.3833,143.3,62.78,79,85,8.41,overcast clouds
20,Salta,AR,2022-07-19 02:30:11,-24.7859,-65.4117,48.79,65,0,5.75,clear sky
21,Yulara,AU,2022-07-19 02:30:12,-25.2406,130.9889,69.58,18,0,7.7,clear sky
22,Ponta Do Sol,PT,2022-07-19 02:30:11,32.6667,-17.1,69.71,80,0,6.6,clear sky
23,Touros,BR,2022-07-19 02:30:12,-5.1989,-35.4608,74.93,89,89,12.03,light rain
24,Kushmurun,KZ,2022-07-19 02:30:13,52.4503,64.6311,72.73,62,0,3.4,clear sky
25,Khatanga,RU,2022-07-19 02:30:13,71.9667,102.5,49.82,69,100,17.18,overcast clouds
26,Rheinau,DE,2022-07-19 02:30:13,48.8667,8.2,68.99,94,6,2.3,clear sky
27,Vila Velha,BR,2022-07-19 02:30:14,-20.3297,-40.2925,68.95,91,40,1.14,scattered clouds
28,Te Anau,NZ,2022-07-19 02:30:14,-45.4167,167.7167,41.49,98,100,4.74,overcast clouds
29,Palmer,US,2022-07-19 02:30:15,42.1584,-72.3287,75.81,84,75,14.97,mist
30,Kamenka,RU,2022-07-19 02:30:15,51.3223,42.7678,56.28,87,13,11.23,few clouds
31,Quatre Cocos,MU,2022-07-19 02:30:16,-20.2078,57.7625,68.11,75,78,22.68,light rain
32,Kampong Chhnang,KH,2022-07-19 02:30:16,12.1667,104.55,87.55,65,14,2.95,few clouds
33,Barrow,US,2022-07-19 02:30:17,71.2906,-156.7887,42.82,81,100,14.97,overcast clouds
34,Mayo,US,2022-07-19 02:30:17,38.8876,-76.5119,78.94,90,0,5.75,clear sky
35,Aranos,NA,2022-07-19 02:30:17,-24.1333,19.1167,48.6,47,0,11.65,clear sky
36,Albany,US,2022-07-19 02:30:18,42.6001,-73.9662,74.17,92,100,8.9,overcast clouds
37,Diffa,NE,2022-07-19 02:30:19,13.3154,12.6113,78.62,71,26,10.8,scattered clouds
38,Mataura,NZ,2022-07-19 02:30:19,-46.1927,168.8643,45.48,89,100,4.16,overcast clouds
39,Busselton,AU,2022-07-19 02:27:29,-33.65,115.3333,56.59,73,0,9.73,clear sky
40,Rikitea,PF,2022-07-19 02:30:20,-23.1203,-134.9692,74.41,77,3,11.92,clear sky
41,Saldanha,ZA,2022-07-19 02:30:20,-33.0117,17.9442,50.05,74,0,13.4,clear sky
42,Tiksi,RU,2022-07-19 02:30:20,71.6872,128.8694,34.02,86,100,21.9,overcast clouds
43,Avarua,CK,2022-07-19 02:30:21,-21.2078,-159.775,77.05,65,40,9.22,scattered clouds
44,Puerto Ayora,EC,2022-07-19 02:27:49,-0.7393,-90.3518,68.56,94,69,3.0,broken clouds
45,Kavieng,PG,2022-07-19 02:30:21,-2.5744,150.7967,83.23,73,100,11.05,light rain
46,Severo-Kurilsk,RU,2022-07-19 02:27:46,50.6789,156.125,57.38,86,81,9.46,broken clouds
47,Atuona,PF,2022-07-19 02:31:22,-9.8,-139.0333,77.05,74,68,18.81,light rain
48,Kurumkan,RU,2022-07-19 02:31:22,54.3,110.3,81.34,33,7,3.98,clear sky
49,Anloga,GH,2022-07-19 02:31:23,5.7947,0.8973,75.6,83,60,11.86,broken clouds
50,Hithadhoo,MV,2022-07-19 02:31:23,-0.6,73.0833,82.51,75,99,9.31,overcast clouds
51,Usuki,JP,2022-07-19 02:31:24,33.1081,131.7878,74.77,94,100,1.14,moderate rain
52,Butaritari,KI,2022-07-19 02:31:24,3.0707,172.7902,82.4,73,61,17.94,broken clouds
53,Lorengau,PG,2022-07-19 02:26:26,-2.0226,147.2712,82.44,73,100,5.03,overcast clouds
54,Shimoda,JP,2022-07-19 02:27:43,34.6667,138.95,80.96,91,100,16.71,light rain
55,Laukaa,RU,2022-07-19 02:31:25,58.7372,29.8453,50.47,75,65,3.31,broken clouds
56,Paamiut,GL,2022-07-19 02:31:26,61.994,-49.6678,44.42,79,100,6.42,overcast clouds
57,Mahibadhoo,MV,2022-07-19 02:31:26,3.7833,72.9667,82.94,76,100,19.86,overcast clouds
58,Sokoni,TZ,2022-07-19 02:31:26,-6.4333,39.55,75.27,75,8,13.04,clear sky
59,Aswan,EG,2022-07-19 02:31:27,24.0934,32.907,85.3,17,0,9.22,clear sky
60,Mahebourg,MU,2022-07-19 02:31:27,-20.4081,57.7,68.29,73,40,17.27,scattered clouds
61,Meulaboh,ID,2022-07-19 02:31:28,4.1363,96.1285,81.97,69,85,2.24,overcast clouds
62,Airai,TL,2022-07-19 02:31:28,-8.9266,125.4092,69.76,39,61,3.06,broken clouds
63,Lompoc,US,2022-07-19 02:27:21,34.6391,-120.4579,84.78,68,0,11.5,clear sky
64,Castro,BR,2022-07-19 02:27:29,-24.7911,-50.0119,57.11,99,100,3.0,overcast clouds
65,Damavand,IR,2022-07-19 02:31:29,35.7178,52.065,74.71,20,0,3.83,clear sky
66,Arraial Do Cabo,BR,2022-07-19 02:26:30,-22.9661,-42.0278,69.91,90,100,14.85,overcast clouds
67,Hilo,US,2022-07-19 02:31:29,19.7297,-155.09,83.28,89,75,5.75,light rain
68,Adana,TR,2022-07-19 02:31:30,36.985,35.2881,75.22,94,0,2.3,clear sky
69,Tevaitoa,PF,2022-07-19 02:31:30,-16.7833,-151.5,76.71,69,4,5.64,clear sky
70,Lujan,AR,2022-07-19 02:27:53,-34.5703,-59.105,49.95,65,99,4.88,overcast clouds
71,Bredasdorp,ZA,2022-07-19 02:31:31,-34.5322,20.0403,53.73,86,98,2.75,overcast clouds
72,Novaya Zaimka,RU,2022-07-19 02:31:31,56.4857,66.9241,66.04,70,0,2.8,clear sky
73,Thompson,CA,2022-07-19 02:30:31,55.7435,-97.8558,73.56,56,40,4.61,scattered clouds
74,Ciudad Bolivar,VE,2022-07-19 02:31:31,8.1222,-63.5497,77.47,81,77,10.0,broken clouds
75,Grand Gaube,MU,2022-07-19 02:31:32,-20.0064,57.6608,68.4,66,49,11.99,scattered clouds
76,Isangel,VU,2022-07-19 02:31:32,-19.55,169.2667,80.71,78,75,2.3,broken clouds
77,Kismayo,SO,2022-07-19 02:31:33,-0.3582,42.5454,75.27,77,91,17.49,overcast clouds
78,Nikolskoye,RU,2022-07-19 02:31:33,59.7035,30.7861,55.87,82,84,3.78,broken clouds
79,Griffith,US,2022-07-19 02:31:34,41.5284,-87.4237,80.11,72,40,6.91,scattered clouds
80,Bathsheba,BB,2022-07-19 02:31:34,13.2167,-59.5167,81.21,86,20,20.71,few clouds
81,Lata,PT,2022-07-19 02:31:34,40.1629,-8.3327,59.94,95,51,0.67,broken clouds
82,Kangaba,ML,2022-07-19 02:31:35,11.9333,-8.4167,72.88,93,86,7.18,light rain
83,Saint-Philippe,RE,2022-07-19 02:27:31,-21.3585,55.7679,67.59,71,68,19.64,light rain
84,Sao Sebastiao,BR,2022-07-19 02:31:36,-23.76,-45.4097,68.36,95,100,0.18,light rain
85,Brae,GB,2022-07-19 02:31:36,60.3964,-1.353,56.14,94,100,10.71,overcast clouds
